region,country,disease,prob,unknown1,unknown2,disease2,diseasename
afr,bwa,whs3_48,3.8142376038002e-05,2502,65596333,WHS3_48,Malaria
afr,bwa,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,bwa,whs3_56,0,0,13852,WHS3_56,Neonatal tetanus
afr,bwa,whs3_57,0.000731116042225158,228,311852,WHS3_57,Rubella
afr,bwa,whs3_62,0.0011554072506504,1045,904443,WHS3_62,Measles
afr,caf,tb_tot_newrel,0.00121217957299896,20997,17321691,TB_tot_newrel,Tuberculosis
afr,caf,whs3_40,0.000144252108300044,117,811080,WHS3_40,Colera
afr,caf,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,caf,whs3_43,0.000412558896555888,164,397519,WHS3_43,Pertussis
afr,caf,whs3_45,0.000805585776967414,562,697629,WHS3_45,Leprosy
afr,caf,whs3_46,0.00240013715069433,84,34998,WHS3_46,Total tetanus
afr,caf,whs3_47,0.00841805858145727,1391,165240,WHS3_47,Meningitis
afr,caf,whs3_49,0.00239808153477218,4,1668,WHS3_49,Poliomyelitis
afr,caf,whs3_50,0.0121247113163972,42,3464,WHS3_50,Yellow fever
afr,caf,whs3_56,0.00606410626624314,84,13852,WHS3_56,Neonatal tetanus
afr,caf,whs3_57,0.000198812257096315,62,311852,WHS3_57,Rubella
afr,caf,whs3_62,0.000765111787033567,692,904443,WHS3_62,Measles
afr,civ,tb_tot_newrel,0.00391156960368361,67755,17321691,TB_tot_newrel,Tuberculosis
afr,civ,whs3_40,0.00156088178724663,1266,811080,WHS3_40,Colera
afr,civ,whs3_45,0.00237088767812118,1654,697629,WHS3_45,Leprosy
afr,civ,whs3_46,0.000228584490542317,8,34998,WHS3_46,Total tetanus
afr,civ,whs3_47,0.00639070442992012,1056,165240,WHS3_47,Meningitis
afr,civ,whs3_48,0.0015258474890662,100090,65596333,WHS3_48,Malaria
afr,civ,whs3_49,0.0215827338129496,36,1668,WHS3_49,Poliomyelitis
afr,civ,whs3_50,0.0233833718244804,81,3464,WHS3_50,Yellow fever
afr,civ,whs3_56,0.00101068437770719,14,13852,WHS3_56,Neonatal tetanus
afr,civ,whs3_57,0.000400831163500635,125,311852,WHS3_57,Rubella
afr,civ,whs3_62,0.00138427739503761,1252,904443,WHS3_62,Measles
afr,cmr,tb_tot_newrel,0.00422984107036663,73268,17321691,TB_tot_newrel,Tuberculosis
afr,cmr,whs3_40,0.0286494550475909,23237,811080,WHS3_40,Colera
afr,cmr,whs3_45,0.00220317676014042,1537,697629,WHS3_45,Leprosy
afr,cmr,whs3_46,0.00708611920681182,248,34998,WHS3_46,Total tetanus
afr,cmr,whs3_47,0.0294238683127572,4862,165240,WHS3_47,Meningitis
afr,cmr,whs3_48,0,0,65596333,WHS3_48,Malaria
afr,cmr,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,cmr,whs3_50,0.0153002309468822,53,3464,WHS3_50,Yellow fever
afr,cmr,whs3_56,0.00714698238521513,99,13852,WHS3_56,Neonatal tetanus
afr,cmr,whs3_57,0.00059964342059695,187,311852,WHS3_57,Rubella
afr,cmr,whs3_62,0.00110012460707861,995,904443,WHS3_62,Measles
afr,cod,tb_tot_newrel,0.0193982793019458,336011,17321691,TB_tot_newrel,Tuberculosis
afr,cod,whs3_40,0.0549871775903733,44599,811080,WHS3_40,Colera
afr,cod,whs3_43,0.0136823648680944,5439,397519,WHS3_43,Pertussis
afr,cod,whs3_45,0.0201539786906794,14060,697629,WHS3_45,Leprosy
afr,cod,whs3_46,0.0956911823532773,3349,34998,WHS3_46,Total tetanus
afr,cod,whs3_47,0.16562575647543,27368,165240,WHS3_47,Meningitis
afr,cod,whs3_48,0.135045140404419,8858466,65596333,WHS3_48,Malaria
afr,cod,whs3_49,0.0725419664268585,121,1668,WHS3_49,Poliomyelitis
afr,cod,whs3_50,0.139722863741339,484,3464,WHS3_50,Yellow fever
afr,cod,whs3_52,0.311331133113311,283,909,WHS3_52,Plague
afr,cod,whs3_55,0.0024390243902439,1,410,WHS3_55,Congenital Rubella Syndrome
afr,cod,whs3_56,0.188348252959861,2609,13852,WHS3_56,Neonatal tetanus
afr,cod,whs3_57,0.00178931031386683,558,311852,WHS3_57,Rubella
afr,cod,whs3_62,0.153979852793377,139266,904443,WHS3_62,Measles
afr,cog,tb_tot_newrel,0.00178331318807153,30890,17321691,TB_tot_newrel,Tuberculosis
afr,cog,whs3_40,0.00105415002219263,855,811080,WHS3_40,Colera
afr,cog,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,cog,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,cog,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,cog,whs3_45,0.000417127154977789,291,697629,WHS3_45,Leprosy
afr,cog,whs3_46,0.000114292245271158,4,34998,WHS3_46,Total tetanus
afr,cog,whs3_48,0.00249866101509058,163903,65596333,WHS3_48,Malaria
afr,cog,whs3_49,0.0239808153477218,40,1668,WHS3_49,Poliomyelitis
afr,cog,whs3_50,0.0545612009237875,189,3464,WHS3_50,Yellow fever
afr,cog,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,cog,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,cog,whs3_56,0.000288766965059197,4,13852,WHS3_56,Neonatal tetanus
afr,cog,whs3_57,6.73396354681067e-05,21,311852,WHS3_57,Rubella
afr,cog,whs3_62,0.000353808918859453,320,904443,WHS3_62,Measles
afr,com,tb_tot_newrel,1.36822669334074e-05,237,17321691,TB_tot_newrel,Tuberculosis
afr,com,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,com,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,com,whs3_45,0.00117540985251473,820,697629,WHS3_45,Leprosy
afr,com,whs3_46,0.000142865306588948,5,34998,WHS3_46,Total tetanus
afr,com,whs3_48,0.00102713058670521,67376,65596333,WHS3_48,Malaria
afr,com,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,com,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,com,whs3_53,5.80089929904913e-05,109,1879019,WHS3_53,Mumps
afr,com,whs3_56,0.000360958706323997,5,13852,WHS3_56,Neonatal tetanus
afr,com,whs3_57,3.20664930800508e-06,1,311852,WHS3_57,Rubella
afr,com,whs3_62,4.42261148574316e-06,4,904443,WHS3_62,Measles
afr,cpv,tb_tot_newrel,6.1656797826494e-05,1068,17321691,TB_tot_newrel,Tuberculosis
afr,cpv,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,cpv,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,cpv,whs3_43,1.76092211944586e-05,7,397519,WHS3_43,Pertussis
afr,cpv,whs3_45,1.14674131952657e-05,8,697629,WHS3_45,Leprosy
afr,cpv,whs3_46,5.71461226355792e-05,2,34998,WHS3_46,Total tetanus
afr,cpv,whs3_48,1.81412579876988e-06,119,65596333,WHS3_48,Malaria
afr,cpv,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,cpv,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,cpv,whs3_53,0.000129322800887059,243,1879019,WHS3_53,Mumps
afr,cpv,whs3_55,0.151219512195122,62,410,WHS3_55,Congenital Rubella Syndrome
afr,cpv,whs3_56,0,0,13852,WHS3_56,Neonatal tetanus
afr,cpv,whs3_57,0.0364499826840937,11367,311852,WHS3_57,Rubella
afr,cpv,whs3_62,0,0,904443,WHS3_62,Measles
afr,dza,tb_tot_newrel,0.00377942315216222,65466,17321691,TB_tot_newrel,Tuberculosis
afr,dza,whs3_41,0.000100765820233777,1,9924,WHS3_41,Diphtheria
afr,dza,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,dza,whs3_43,5.03120605555961e-06,2,397519,WHS3_43,Pertussis
afr,dza,whs3_45,0,0,697629,WHS3_45,Leprosy
afr,dza,whs3_46,8.57191839533688e-05,3,34998,WHS3_46,Total tetanus
afr,dza,whs3_48,2.43916073784185e-07,16,65596333,WHS3_48,Malaria
afr,dza,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,dza,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,dza,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,dza,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,dza,whs3_56,0,0,13852,WHS3_56,Neonatal tetanus
afr,dza,whs3_57,0.00129869296974206,405,311852,WHS3_57,Rubella
afr,dza,whs3_62,0.000356020224602324,322,904443,WHS3_62,Measles
afr,eri,tb_tot_newrel,0.000509361355077862,8823,17321691,TB_tot_newrel,Tuberculosis
afr,eri,whs3_41,0.00120918984280532,12,9924,WHS3_41,Diphtheria
afr,eri,whs3_43,0.00025659150883354,102,397519,WHS3_43,Pertussis
afr,eri,whs3_45,1.57676931434903e-05,11,697629,WHS3_45,Leprosy
afr,eri,whs3_46,0.00234299102805875,82,34998,WHS3_46,Total tetanus
afr,eri,whs3_48,0.00125904903861013,82589,65596333,WHS3_48,Malaria
afr,eri,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,eri,whs3_53,0.00416174610262057,7820,1879019,WHS3_53,Mumps
afr,eri,whs3_56,0,0,13852,WHS3_56,Neonatal tetanus
afr,eri,whs3_57,0.00187909649449098,586,311852,WHS3_57,Rubella
afr,eri,whs3_62,0.000200123169729878,181,904443,WHS3_62,Measles
afr,eth,tb_tot_newrel,0.026566055242528,460169,17321691,TB_tot_newrel,Tuberculosis
afr,eth,whs3_40,0.0388482023968043,31509,811080,WHS3_40,Colera
afr,eth,whs3_45,0.0202500182761898,14127,697629,WHS3_45,Leprosy
afr,eth,whs3_46,0.00451454368821076,158,34998,WHS3_46,Total tetanus
afr,eth,whs3_47,0.00301379811183733,498,165240,WHS3_47,Meningitis
afr,eth,whs3_48,0.0560217138967204,3674819,65596333,WHS3_48,Malaria
afr,eth,whs3_49,0.00299760191846523,5,1668,WHS3_49,Poliomyelitis
afr,eth,whs3_56,0.0114062951198383,158,13852,WHS3_56,Neonatal tetanus
afr,eth,whs3_57,0.000974821389633544,304,311852,WHS3_57,Rubella
afr,eth,whs3_62,0.00958158778386255,8666,904443,WHS3_62,Measles
afr,gab,tb_tot_newrel,0.000632155370973885,10950,17321691,TB_tot_newrel,Tuberculosis
afr,gab,whs3_45,0.000140475811642005,98,697629,WHS3_45,Leprosy
afr,gab,whs3_46,0.000228584490542317,8,34998,WHS3_46,Total tetanus
afr,gab,whs3_48,0.000140648106045806,9226,65596333,WHS3_48,Malaria
afr,gab,whs3_49,0.000599520383693046,1,1668,WHS3_49,Poliomyelitis
afr,gab,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,gab,whs3_56,0.000577533930118394,8,13852,WHS3_56,Neonatal tetanus
afr,gab,whs3_57,0.000147505868168234,46,311852,WHS3_57,Rubella
afr,gab,whs3_62,3.31695861430737e-06,3,904443,WHS3_62,Measles
afr,gha,tb_tot_newrel,0.00259143290340418,44888,17321691,TB_tot_newrel,Tuberculosis
afr,gha,whs3_40,0.0146989199585738,11922,811080,WHS3_40,Colera
afr,gha,whs3_41,0.0047359935509875,47,9924,WHS3_41,Diphtheria
afr,gha,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,gha,whs3_43,0.000158482990750128,63,397519,WHS3_43,Pertussis
afr,gha,whs3_45,0.000893024802581315,623,697629,WHS3_45,Leprosy
afr,gha,whs3_46,0.00957197554145951,335,34998,WHS3_46,Total tetanus
afr,gha,whs3_47,0.0173505204550956,2867,165240,WHS3_47,Meningitis
afr,gha,whs3_48,0.0490464459347141,3217267,65596333,WHS3_48,Malaria
afr,gha,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,gha,whs3_50,0.0534064665127021,185,3464,WHS3_50,Yellow fever
afr,gha,whs3_53,0.00201168801379869,3780,1879019,WHS3_53,Mumps
afr,gha,whs3_56,0.00101068437770719,14,13852,WHS3_56,Neonatal tetanus
afr,gha,whs3_57,0.00270961866526429,845,311852,WHS3_57,Rubella
afr,gha,whs3_62,0.000953072775177651,862,904443,WHS3_62,Measles
afr,gin,tb_tot_newrel,0.00177546176063295,30754,17321691,TB_tot_newrel,Tuberculosis
afr,gin,whs3_40,5.54815801154017e-05,45,811080,WHS3_40,Colera
afr,gin,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,gin,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,gin,whs3_43,6.28900756944951e-05,25,397519,WHS3_43,Pertussis
afr,gin,whs3_45,0.00241245705095402,1683,697629,WHS3_45,Leprosy
afr,gin,whs3_46,0.00337162123549917,118,34998,WHS3_46,Total tetanus
afr,gin,whs3_47,0.00218470104091019,361,165240,WHS3_47,Meningitis
afr,gin,whs3_48,0.0020033894272718,131415,65596333,WHS3_48,Malaria
afr,gin,whs3_49,0.00179856115107914,3,1668,WHS3_49,Poliomyelitis
afr,gin,whs3_50,0.00173210161662818,6,3464,WHS3_50,Yellow fever
afr,gin,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,gin,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,gin,whs3_56,0.00736355760900953,102,13852,WHS3_56,Neonatal tetanus
afr,gin,whs3_57,0.000141092569552223,44,311852,WHS3_57,Rubella
afr,gin,whs3_62,0.000353808918859453,320,904443,WHS3_62,Measles
afr,gmb,tb_tot_newrel,0.00037311599658486,6463,17321691,TB_tot_newrel,Tuberculosis
afr,gmb,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,gmb,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,gmb,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,gmb,whs3_45,0.00015194322483727,106,697629,WHS3_45,Leprosy
afr,gmb,whs3_46,5.71461226355792e-05,2,34998,WHS3_46,Total tetanus
afr,gmb,whs3_47,0.00121036068748487,200,165240,WHS3_47,Meningitis
afr,gmb,whs3_48,0.0065353958124458,428698,65596333,WHS3_48,Malaria
afr,gmb,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,gmb,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,gmb,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,gmb,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,gmb,whs3_56,0.000144383482529599,2,13852,WHS3_56,Neonatal tetanus
afr,gmb,whs3_57,0.000179572361248284,56,311852,WHS3_57,Rubella
afr,gmb,whs3_62,2.21130574287158e-06,2,904443,WHS3_62,Measles
afr,gnb,tb_tot_newrel,0.000370460366715929,6417,17321691,TB_tot_newrel,Tuberculosis
afr,gnb,whs3_40,6.16462001282241e-06,5,811080,WHS3_40,Colera
afr,gnb,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,gnb,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,gnb,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,gnb,whs3_45,0.000172011197928985,120,697629,WHS3_45,Leprosy
afr,gnb,whs3_46,0.000171438367906738,6,34998,WHS3_46,Total tetanus
afr,gnb,whs3_48,0.00204477893604205,134130,65596333,WHS3_48,Malaria
afr,gnb,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,gnb,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,gnb,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,gnb,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,gnb,whs3_56,7.21917412647993e-05,1,13852,WHS3_56,Neonatal tetanus
afr,gnb,whs3_57,9.61994792401524e-06,3,311852,WHS3_57,Rubella
afr,gnb,whs3_62,2.87469746573305e-05,26,904443,WHS3_62,Measles
afr,gnq,tb_tot_newrel,0.000139131912698362,2410,17321691,TB_tot_newrel,Tuberculosis
afr,gnq,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,gnq,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,gnq,whs3_45,7.16713324704105e-05,50,697629,WHS3_45,Leprosy
afr,gnq,whs3_46,0.000142865306588948,5,34998,WHS3_46,Total tetanus
afr,gnq,whs3_48,0.00137908623642117,90463,65596333,WHS3_48,Malaria
afr,gnq,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,gnq,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,gnq,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,gnq,whs3_56,0.000360958706323997,5,13852,WHS3_56,Neonatal tetanus
afr,gnq,whs3_62,8.62409239719916e-05,78,904443,WHS3_62,Measles
afr,ken,tb_tot_newrel,0.0172955977565932,299589,17321691,TB_tot_newrel,Tuberculosis
afr,ken,whs3_40,0.014177393105489,11499,811080,WHS3_40,Colera
afr,ken,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,ken,whs3_45,0.000556169539970385,388,697629,WHS3_45,Leprosy
afr,ken,whs3_46,0.000457168981084633,16,34998,WHS3_46,Total tetanus
afr,ken,whs3_48,0.028985400754033,1901336,65596333,WHS3_48,Malaria
afr,ken,whs3_49,0.00239808153477218,4,1668,WHS3_49,Poliomyelitis
afr,ken,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,ken,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,ken,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,ken,whs3_56,0.00115506786023679,16,13852,WHS3_56,Neonatal tetanus
afr,ken,whs3_57,0.00765747854751613,2388,311852,WHS3_57,Rubella
afr,ken,whs3_62,0.00409976084728391,3708,904443,WHS3_62,Measles
afr,lbr,tb_tot_newrel,0.00117892646855321,20421,17321691,TB_tot_newrel,Tuberculosis
afr,lbr,whs3_40,0.00273215958968289,2216,811080,WHS3_40,Colera
afr,lbr,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,lbr,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,lbr,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,lbr,whs3_45,0.0022347121464274,1559,697629,WHS3_45,Leprosy
afr,lbr,whs3_46,0.000314303674495685,11,34998,WHS3_46,Total tetanus
afr,lbr,whs3_48,0.0560628289999077,3677516,65596333,WHS3_48,Malaria
afr,lbr,whs3_49,0.00119904076738609,2,1668,WHS3_49,Poliomyelitis
afr,lbr,whs3_50,0.000577367205542725,2,3464,WHS3_50,Yellow fever
afr,lbr,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,lbr,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,lbr,whs3_56,0.000794109153912792,11,13852,WHS3_56,Neonatal tetanus
afr,lbr,whs3_57,9.61994792401524e-05,30,311852,WHS3_57,Rubella
afr,lbr,whs3_62,0.00274754738551794,2485,904443,WHS3_62,Measles
afr,lso,tb_tot_newrel,0.00203900415958234,35319,17321691,TB_tot_newrel,Tuberculosis
afr,lso,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,lso,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,lso,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,lso,whs3_45,2.58016796893478e-05,18,697629,WHS3_45,Leprosy
afr,lso,whs3_46,0,0,34998,WHS3_46,Total tetanus
afr,lso,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,lso,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,lso,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,lso,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,lso,whs3_56,0,0,13852,WHS3_56,Neonatal tetanus
afr,lso,whs3_57,0.000551543680976874,172,311852,WHS3_57,Rubella
afr,lso,whs3_62,0.0029410366380192,2660,904443,WHS3_62,Measles
afr,mdg,tb_tot_newrel,0.0042264349364043,73209,17321691,TB_tot_newrel,Tuberculosis
afr,mdg,whs3_41,0.000503829101168884,5,9924,WHS3_41,Diphtheria
afr,mdg,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,mdg,whs3_43,0.0015697362893346,624,397519,WHS3_43,Pertussis
afr,mdg,whs3_45,0.00669266902608693,4669,697629,WHS3_45,Leprosy
afr,mdg,whs3_46,0.027030116006629,946,34998,WHS3_46,Total tetanus
afr,mdg,whs3_48,0.00978801665635791,642058,65596333,WHS3_48,Malaria
afr,mdg,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,mdg,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,mdg,whs3_52,0.625962596259626,569,909,WHS3_52,Plague
afr,mdg,whs3_53,6.38631115491648e-06,12,1879019,WHS3_53,Mumps
afr,mdg,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,mdg,whs3_56,0.00397054576956396,55,13852,WHS3_56,Neonatal tetanus
afr,mdg,whs3_57,0.00175083052217077,546,311852,WHS3_57,Rubella
afr,mdg,whs3_62,1.10565287143579e-06,1,904443,WHS3_62,Measles
afr,mli,tb_tot_newrel,0.00100047968757785,17330,17321691,TB_tot_newrel,Tuberculosis
afr,mli,whs3_40,0.00273709128569315,2220,811080,WHS3_40,Colera
afr,mli,whs3_45,0.00134025391719668,935,697629,WHS3_45,Leprosy
afr,mli,whs3_46,0.00454311674952854,159,34998,WHS3_46,Total tetanus
afr,mli,whs3_47,0.0113834422657952,1881,165240,WHS3_47,Meningitis
afr,mli,whs3_48,0.00814858050068134,534517,65596333,WHS3_48,Malaria
afr,mli,whs3_49,0.0065947242206235,11,1668,WHS3_49,Poliomyelitis
afr,mli,whs3_50,0.00202078521939954,7,3464,WHS3_50,Yellow fever
afr,mli,whs3_56,0.00223794397920878,31,13852,WHS3_56,Neonatal tetanus
afr,mli,whs3_57,0.000631709913677001,197,311852,WHS3_57,Rubella
afr,mli,whs3_62,0.00517666674406237,4682,904443,WHS3_62,Measles
afr,moz,tb_tot_newrel,0.00758621083819126,131406,17321691,TB_tot_newrel,Tuberculosis
afr,moz,whs3_40,0.0258396212457464,20958,811080,WHS3_40,Colera
afr,moz,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,moz,whs3_45,0.00500982613968169,3495,697629,WHS3_45,Leprosy
afr,moz,whs3_46,0.00288587919309675,101,34998,WHS3_46,Total tetanus
afr,moz,whs3_48,0.0514255118498773,3373325,65596333,WHS3_48,Malaria
afr,moz,whs3_49,0.00119904076738609,2,1668,WHS3_49,Poliomyelitis
afr,moz,whs3_56,0.0115506786023679,160,13852,WHS3_56,Neonatal tetanus
afr,moz,whs3_57,0.000904275104857432,282,311852,WHS3_57,Rubella
afr,moz,whs3_62,0.00282826004513275,2558,904443,WHS3_62,Measles
afr,mrt,tb_tot_newrel,0.000397016665405242,6877,17321691,TB_tot_newrel,Tuberculosis
afr,mrt,whs3_40,5.67145041179662e-05,46,811080,WHS3_40,Colera
afr,mrt,whs3_45,4.87365060798791e-05,34,697629,WHS3_45,Leprosy
afr,mrt,whs3_46,5.71461226355792e-05,2,34998,WHS3_46,Total tetanus
