"COUNTRY","REGION","GHO","probability","gho_country_count","disease_on_world_count","code","name"
"51","BFA","AFR","WHS3_50",0.572682759338314,1032,3464,"WHS3_50","Yellow fever"
"52","BFA","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"53","BFA","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"54","BFA","AFR","WHS3_56",0.00138771349612565,10,13852,"WHS3_56","Neonatal tetanus"
"55","BFA","AFR","WHS3_62",0.122184424430096,57489,904443,"WHS3_62","Measles"
"56","BWA","AFR","TB_tot_newrel",0.3943223437363,21978,17321691,"TB_tot_newrel","Tuberculosis"
"57","BWA","AFR","WHS3_40",0.00574752767316602,15,811080,"WHS3_40","Colera"
"58","BWA","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"59","BWA","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"60","BWA","AFR","WHS3_45",0.00178192315023276,4,697629,"WHS3_45","Leprosy"
"61","BWA","AFR","WHS3_46",0,0,34998,"WHS3_46","Total tetanus"
"62","BWA","AFR","WHS3_48",0.0118538996911804,2502,65596333,"WHS3_48","Malaria"
"63","BWA","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"64","BWA","AFR","WHS3_56",0,0,13852,"WHS3_56","Neonatal tetanus"
"65","BWA","AFR","WHS3_57",0.227216474886493,228,311852,"WHS3_57","Rubella"
"66","BWA","AFR","WHS3_62",0.359077830862628,1045,904443,"WHS3_62","Measles"
"67","CAF","AFR","TB_tot_newrel",0.0346896066182667,20997,17321691,"TB_tot_newrel","Tuberculosis"
"68","CAF","AFR","WHS3_40",0.00412814157427516,117,811080,"WHS3_40","Colera"
"69","CAF","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"70","CAF","AFR","WHS3_43",0.0118064238559827,164,397519,"WHS3_43","Pertussis"
"71","CAF","AFR","WHS3_45",0.02305388931042,562,697629,"WHS3_45","Leprosy"
"72","CAF","AFR","WHS3_46",0.0686860391332008,84,34998,"WHS3_46","Total tetanus"
"73","CAF","AFR","WHS3_47",0.240904192072643,1391,165240,"WHS3_47","Meningitis"
"74","CAF","AFR","WHS3_49",0.0686272124467216,4,1668,"WHS3_49","Poliomyelitis"
"75","CAF","AFR","WHS3_50",0.346979503115439,42,3464,"WHS3_50","Yellow fever"
"76","CAF","AFR","WHS3_56",0.173539849666746,84,13852,"WHS3_56","Neonatal tetanus"
"77","CAF","AFR","WHS3_57",0.00568951922898535,62,311852,"WHS3_57","Rubella"
"78","CAF","AFR","WHS3_62",0.0218956229773195,692,904443,"WHS3_62","Measles"
"79","CIV","AFR","TB_tot_newrel",0.0613575945527369,67755,17321691,"TB_tot_newrel","Tuberculosis"
"80","CIV","AFR","WHS3_40",0.0244842765309455,1266,811080,"WHS3_40","Colera"
"81","CIV","AFR","WHS3_45",0.0371901767380657,1654,697629,"WHS3_45","Leprosy"
"82","CIV","AFR","WHS3_46",0.00358561802876558,8,34998,"WHS3_46","Total tetanus"
"83","CIV","AFR","WHS3_47",0.100245755808142,1056,165240,"WHS3_47","Meningitis"
"84","CIV","AFR","WHS3_48",0.0239347221369317,100090,65596333,"WHS3_48","Malaria"
"85","CIV","AFR","WHS3_49",0.338550700820336,36,1668,"WHS3_49","Poliomyelitis"
"86","CIV","AFR","WHS3_50",0.366795837234041,81,3464,"WHS3_50","Yellow fever"
"87","CIV","AFR","WHS3_56",0.0158537795696499,14,13852,"WHS3_56","Neonatal tetanus"
"88","CIV","AFR","WHS3_57",0.00628751077087137,125,311852,"WHS3_57","Rubella"
"89","CIV","AFR","WHS3_62",0.0217140278095142,1252,904443,"WHS3_62","Measles"
"90","CMR","AFR","TB_tot_newrel",0.0441807576138069,73268,17321691,"TB_tot_newrel","Tuberculosis"
"91","CMR","AFR","WHS3_40",0.299244016067856,23237,811080,"WHS3_40","Colera"
"92","CMR","AFR","WHS3_45",0.0230122164877696,1537,697629,"WHS3_45","Leprosy"
"93","CMR","AFR","WHS3_46",0.0740146284199653,248,34998,"WHS3_46","Total tetanus"
"94","CMR","AFR","WHS3_47",0.307332775005143,4862,165240,"WHS3_47","Meningitis"
"95","CMR","AFR","WHS3_48",0,0,65596333,"WHS3_48","Malaria"
"96","CMR","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"97","CMR","AFR","WHS3_50",0.159811156886062,53,3464,"WHS3_50","Yellow fever"
"98","CMR","AFR","WHS3_56",0.074650345291571,99,13852,"WHS3_56","Neonatal tetanus"
"99","CMR","AFR","WHS3_57",0.00626328511624471,187,311852,"WHS3_57","Rubella"
"100","CMR","AFR","WHS3_62",0.0114908191115823,995,904443,"WHS3_62","Measles"
"101","COD","AFR","TB_tot_newrel",0.0141105458085708,336011,17321691,"TB_tot_newrel","Tuberculosis"
"102","COD","AFR","WHS3_40",0.039998346048928,44599,811080,"WHS3_40","Colera"
"103","COD","AFR","WHS3_43",0.00995271968382578,5439,397519,"WHS3_43","Pertussis"
"104","COD","AFR","WHS3_45",0.0146602507940623,14060,697629,"WHS3_45","Leprosy"
"105","COD","AFR","WHS3_46",0.0696069373502003,3349,34998,"WHS3_46","Total tetanus"
"106","COD","AFR","WHS3_47",0.120478202599719,27368,165240,"WHS3_47","Meningitis"
"107","COD","AFR","WHS3_48",0.0982334881481108,8858466,65596333,"WHS3_48","Malaria"
"108","COD","AFR","WHS3_49",0.0527679143277065,121,1668,"WHS3_49","Poliomyelitis"
"109","COD","AFR","WHS3_50",0.101636121360987,484,3464,"WHS3_50","Yellow fever"
"110","COD","AFR","WHS3_52",0.226466077070506,283,909,"WHS3_52","Plague"
"111","COD","AFR","WHS3_55",0.00177417619630345,1,410,"WHS3_55","Congenital Rubella Syndrome"
"112","COD","AFR","WHS3_56",0.137006824676858,2609,13852,"WHS3_56","Neonatal tetanus"
"113","COD","AFR","WHS3_57",0.00130156622433175,558,311852,"WHS3_57","Rubella"
"114","COD","AFR","WHS3_62",0.112006829709891,139266,904443,"WHS3_62","Measles"
"115","COG","AFR","TB_tot_newrel",0.0209507069838667,30890,17321691,"TB_tot_newrel","Tuberculosis"
"116","COG","AFR","WHS3_40",0.0123843575989461,855,811080,"WHS3_40","Colera"
"117","COG","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"118","COG","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"119","COG","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"120","COG","AFR","WHS3_45",0.0049004901984738,291,697629,"WHS3_45","Leprosy"
"121","COG","AFR","WHS3_46",0.00134272732194263,4,34998,"WHS3_46","Total tetanus"
"122","COG","AFR","WHS3_48",0.0293547511055999,163903,65596333,"WHS3_48","Malaria"
"123","COG","AFR","WHS3_49",0.281731239888179,40,1668,"WHS3_49","Poliomyelitis"
"124","COG","AFR","WHS3_50",0.640995502578147,189,3464,"WHS3_50","Yellow fever"
"125","COG","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"126","COG","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"127","COG","AFR","WHS3_56",0.00339248995187324,4,13852,"WHS3_56","Neonatal tetanus"
"128","COG","AFR","WHS3_57",0.000791119014051787,21,311852,"WHS3_57","Rubella"
"129","COG","AFR","WHS3_62",0.00415661535892019,320,904443,"WHS3_62","Measles"
"130","COM","AFR","TB_tot_newrel",0.00491163468473846,237,17321691,"TB_tot_newrel","Tuberculosis"
"131","COM","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"132","COM","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"133","COM","AFR","WHS3_45",0.421946438298069,820,697629,"WHS3_45","Leprosy"
"134","COM","AFR","WHS3_46",0.0512855215077522,5,34998,"WHS3_46","Total tetanus"
"135","COM","AFR","WHS3_48",0.368717423799061,67376,65596333,"WHS3_48","Malaria"
"136","COM","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"137","COM","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"138","COM","AFR","WHS3_53",0.0208239601950152,109,1879019,"WHS3_53","Mumps"
"139","COM","AFR","WHS3_56",0.12957628369393,5,13852,"WHS3_56","Neonatal tetanus"
"140","COM","AFR","WHS3_57",0.00115111699250177,1,311852,"WHS3_57","Rubella"
"141","COM","AFR","WHS3_62",0.001587620828933,4,904443,"WHS3_62","Measles"
"142","CPV","AFR","TB_tot_newrel",0.000328051535923838,1068,17321691,"TB_tot_newrel","Tuberculosis"
"143","CPV","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"144","CPV","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"145","CPV","AFR","WHS3_43",9.369173007526e-05,7,397519,"WHS3_43","Pertussis"
"146","CPV","AFR","WHS3_45",6.10135888400564e-05,8,697629,"WHS3_45","Leprosy"
"147","CPV","AFR","WHS3_46",0.000304052009892706,2,34998,"WHS3_46","Total tetanus"
"148","CPV","AFR","WHS3_48",9.65224882940306e-06,119,65596333,"WHS3_48","Malaria"
"149","CPV","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"150","CPV","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"151","CPV","AFR","WHS3_53",0.000688075685999093,243,1879019,"WHS3_53","Mumps"
"152","CPV","AFR","WHS3_55",0.804579462217007,62,410,"WHS3_55","Congenital Rubella Syndrome"
"153","CPV","AFR","WHS3_56",0,0,13852,"WHS3_56","Neonatal tetanus"
"154","CPV","AFR","WHS3_57",0.193936000983433,11367,311852,"WHS3_57","Rubella"
"155","CPV","AFR","WHS3_62",0,0,904443,"WHS3_62","Measles"
"156","DZA","AFR","TB_tot_newrel",0.671790384060462,65466,17321691,"TB_tot_newrel","Tuberculosis"
"157","DZA","AFR","WHS3_41",0.0179110690572683,1,9924,"WHS3_41","Diphtheria"
"158","DZA","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"159","DZA","AFR","WHS3_43",0.000894294105812959,2,397519,"WHS3_43","Pertussis"
"160","DZA","AFR","WHS3_45",0,0,697629,"WHS3_45","Leprosy"
"161","DZA","AFR","WHS3_46",0.0152365377442423,3,34998,"WHS3_46","Total tetanus"
"162","DZA","AFR","WHS3_48",4.33559477964918e-05,16,65596333,"WHS3_48","Malaria"
"163","DZA","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"164","DZA","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"165","DZA","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"166","DZA","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"167","DZA","AFR","WHS3_56",0,0,13852,"WHS3_56","Neonatal tetanus"
"168","DZA","AFR","WHS3_57",0.230841960213031,405,311852,"WHS3_57","Rubella"
"169","DZA","AFR","WHS3_62",0.0632823988713877,322,904443,"WHS3_62","Measles"
"170","ERI","AFR","TB_tot_newrel",0.0430425013184994,8823,17321691,"TB_tot_newrel","Tuberculosis"
"171","ERI","AFR","WHS3_41",0.102180023836532,12,9924,"WHS3_41","Diphtheria"
"172","ERI","AFR","WHS3_43",0.0216827214062895,102,397519,"WHS3_43","Pertussis"
"173","ERI","AFR","WHS3_45",0.00133241547705289,11,697629,"WHS3_45","Leprosy"
"174","ERI","AFR","WHS3_46",0.197989489012246,82,34998,"WHS3_46","Total tetanus"
"175","ERI","AFR","WHS3_48",0.106393269462203,82589,65596333,"WHS3_48","Malaria"
"176","ERI","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"177","ERI","AFR","WHS3_53",0.35167953030501,7820,1879019,"WHS3_53","Mumps"
"178","ERI","AFR","WHS3_56",0,0,13852,"WHS3_56","Neonatal tetanus"
"179","ERI","AFR","WHS3_57",0.158789065042737,586,311852,"WHS3_57","Rubella"
"180","ERI","AFR","WHS3_62",0.0169109841394305,181,904443,"WHS3_62","Measles"
"181","ETH","AFR","TB_tot_newrel",0.152525393905849,460169,17321691,"TB_tot_newrel","Tuberculosis"
"182","ETH","AFR","WHS3_40",0.223041671750393,31509,811080,"WHS3_40","Colera"
"183","ETH","AFR","WHS3_45",0.116262726474801,14127,697629,"WHS3_45","Leprosy"
"184","ETH","AFR","WHS3_46",0.0259196387293211,158,34998,"WHS3_46","Total tetanus"
"185","ETH","AFR","WHS3_47",0.0173033120636149,498,165240,"WHS3_47","Meningitis"
"186","ETH","AFR","WHS3_48",0.32164105289141,3674819,65596333,"WHS3_48","Malaria"
"187","ETH","AFR","WHS3_49",0.0172103238216157,5,1668,"WHS3_49","Poliomyelitis"
"188","ETH","AFR","WHS3_56",0.0654876924811419,158,13852,"WHS3_56","Neonatal tetanus"
"189","ETH","AFR","WHS3_57",0.00559680445908593,304,311852,"WHS3_57","Rubella"
"190","ETH","AFR","WHS3_62",0.0550113834227667,8666,904443,"WHS3_62","Measles"
"191","GAB","AFR","TB_tot_newrel",0.255960196434527,10950,17321691,"TB_tot_newrel","Tuberculosis"
"192","GAB","AFR","WHS3_45",0.0568787642930152,98,697629,"WHS3_45","Leprosy"
"193","GAB","AFR","WHS3_46",0.0925540362189137,8,34998,"WHS3_46","Total tetanus"
"194","GAB","AFR","WHS3_48",0.0569485264297722,9226,65596333,"WHS3_48","Malaria"
"195","GAB","AFR","WHS3_49",0.24274626495725,1,1668,"WHS3_49","Poliomyelitis"
"196","GAB","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"197","GAB","AFR","WHS3_56",0.233843932976432,8,13852,"WHS3_56","Neonatal tetanus"
"198","GAB","AFR","WHS3_57",0.0597252395932682,46,311852,"WHS3_57","Rubella"
"199","GAB","AFR","WHS3_62",0.001343039096821,3,904443,"WHS3_62","Measles"
"200","GHA","AFR","TB_tot_newrel",0.0162841532941078,44888,17321691,"TB_tot_newrel","Tuberculosis"
"201","GHA","AFR","WHS3_40",0.0923656813760473,11922,811080,"WHS3_40","Colera"
"202","GHA","AFR","WHS3_41",0.0297602322185835,47,9924,"WHS3_41","Diphtheria"
"203","GHA","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"204","GHA","AFR","WHS3_43",0.000995881974213411,63,397519,"WHS3_43","Pertussis"
"205","GHA","AFR","WHS3_45",0.00561162620169386,623,697629,"WHS3_45","Leprosy"
"206","GHA","AFR","WHS3_46",0.0601487759300347,335,34998,"WHS3_46","Total tetanus"
"207","GHA","AFR","WHS3_47",0.10902791828111,2867,165240,"WHS3_47","Meningitis"
"208","GHA","AFR","WHS3_48",0.308200086169658,3217267,65596333,"WHS3_48","Malaria"
"209","GHA","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"210","GHA","AFR","WHS3_50",0.335597763865327,185,3464,"WHS3_50","Yellow fever"
"211","GHA","AFR","WHS3_53",0.0126411283709427,3780,1879019,"WHS3_53","Mumps"
"212","GHA","AFR","WHS3_56",0.00635098030781502,14,13852,"WHS3_56","Neonatal tetanus"
"213","GHA","AFR","WHS3_57",0.0170268138741995,845,311852,"WHS3_57","Rubella"
"214","GHA","AFR","WHS3_62",0.00598895813626744,862,904443,"WHS3_62","Measles"
"215","GIN","AFR","TB_tot_newrel",0.0763471206547292,30754,17321691,"TB_tot_newrel","Tuberculosis"
"216","GIN","AFR","WHS3_40",0.00238577872253104,45,811080,"WHS3_40","Colera"
"217","GIN","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"218","GIN","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"219","GIN","AFR","WHS3_43",0.00270435348341208,25,397519,"WHS3_43","Pertussis"
"220","GIN","AFR","WHS3_45",0.103738730750178,1683,697629,"WHS3_45","Leprosy"
"221","GIN","AFR","WHS3_46",0.144984014286477,118,34998,"WHS3_46","Total tetanus"
"222","GIN","AFR","WHS3_47",0.0939449317711129,361,165240,"WHS3_47","Meningitis"
"223","GIN","AFR","WHS3_48",0.0861483010863612,131415,65596333,"WHS3_48","Malaria"
"224","GIN","AFR","WHS3_49",0.0773404239116896,3,1668,"WHS3_49","Poliomyelitis"
"225","GIN","AFR","WHS3_50",0.0744825791482092,6,3464,"WHS3_50","Yellow fever"
"226","GIN","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"227","GIN","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"228","GIN","AFR","WHS3_56",0.316642370840293,102,13852,"WHS3_56","Neonatal tetanus"
"229","GIN","AFR","WHS3_57",0.00606716048181693,44,311852,"WHS3_57","Rubella"
"230","GIN","AFR","WHS3_62",0.0152142348631896,320,904443,"WHS3_62","Measles"
"231","GMB","AFR","TB_tot_newrel",0.0431142171401314,6463,17321691,"TB_tot_newrel","Tuberculosis"
"232","GMB","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"233","GMB","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"234","GMB","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"235","GMB","AFR","WHS3_45",0.0175573099212217,106,697629,"WHS3_45","Leprosy"
"236","GMB","AFR","WHS3_46",0.00660333612758032,2,34998,"WHS3_46","Total tetanus"
"237","GMB","AFR","WHS3_47",0.139859330545301,200,165240,"WHS3_47","Meningitis"
"238","GMB","AFR","WHS3_48",0.755176611921032,428698,65596333,"WHS3_48","Malaria"
"239","GMB","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"240","GMB","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"241","GMB","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"242","GMB","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"243","GMB","AFR","WHS3_56",0.0166837682495709,2,13852,"WHS3_56","Neonatal tetanus"
"244","GMB","AFR","WHS3_57",0.0207499057828892,56,311852,"WHS3_57","Rubella"
"245","GMB","AFR","WHS3_62",0.000255520312272919,2,904443,"WHS3_62","Measles"
"246","GNB","AFR","TB_tot_newrel",0.128837309948744,6417,17321691,"TB_tot_newrel","Tuberculosis"
"247","GNB","AFR","WHS3_40",0.00214390831156643,5,811080,"WHS3_40","Colera"
"248","GNB","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"249","GNB","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"250","GNB","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"251","GNB","AFR","WHS3_45",0.0598214060486122,120,697629,"WHS3_45","Leprosy"
"252","GNB","AFR","WHS3_46",0.0596221893826609,6,34998,"WHS3_46","Total tetanus"
"253","GNB","AFR","WHS3_48",0.711125510928197,134130,65596333,"WHS3_48","Malaria"
"254","GNB","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"255","GNB","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"256","GNB","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"257","GNB","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"258","GNB","AFR","WHS3_56",0.025106571662508,1,13852,"WHS3_56","Neonatal tetanus"
"259","GNB","AFR","WHS3_57",0.00334558922824668,3,311852,"WHS3_57","Rubella"
"260","GNB","AFR","WHS3_62",0.00999751448946543,26,904443,"WHS3_62","Measles"
"261","GNQ","AFR","TB_tot_newrel",0.06382331278087,2410,17321691,"TB_tot_newrel","Tuberculosis"
"262","GNQ","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"263","GNQ","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"264","GNQ","AFR","WHS3_45",0.0328774454470257,50,697629,"WHS3_45","Leprosy"
"265","GNQ","AFR","WHS3_46",0.0655359145944428,5,34998,"WHS3_46","Total tetanus"
"266","GNQ","AFR","WHS3_48",0.632621592788163,90463,65596333,"WHS3_48","Malaria"
"267","GNQ","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"268","GNQ","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"269","GNQ","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"270","GNQ","AFR","WHS3_56",0.16558085034481,5,13852,"WHS3_56","Neonatal tetanus"
"271","GNQ","AFR","WHS3_62",0.0395608840446887,78,904443,"WHS3_62","Measles"
"272","KEN","AFR","TB_tot_newrel",0.225255541241855,299589,17321691,"TB_tot_newrel","Tuberculosis"
"273","KEN","AFR","WHS3_40",0.184644462846511,11499,811080,"WHS3_40","Colera"
"274","KEN","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"275","KEN","AFR","WHS3_45",0.00724347735830669,388,697629,"WHS3_45","Leprosy"
"276","KEN","AFR","WHS3_46",0.00595410738168619,16,34998,"WHS3_46","Total tetanus"
"277","KEN","AFR","WHS3_48",0.377501964768627,1901336,65596333,"WHS3_48","Malaria"
"278","KEN","AFR","WHS3_49",0.0312322916882873,4,1668,"WHS3_49","Poliomyelitis"
"279","KEN","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"280","KEN","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"281","KEN","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"282","KEN","AFR","WHS3_56",0.0150434486098941,16,13852,"WHS3_56","Neonatal tetanus"
"283","KEN","AFR","WHS3_57",0.0997299716982087,2388,311852,"WHS3_57","Rubella"
"284","KEN","AFR","WHS3_62",0.0533947344066245,3708,904443,"WHS3_62","Measles"
"285","LBR","AFR","TB_tot_newrel",0.0173531814317262,20421,17321691,"TB_tot_newrel","Tuberculosis"
"286","LBR","AFR","WHS3_40",0.040215961151828,2216,811080,"WHS3_40","Colera"
"287","LBR","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"288","LBR","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"289","LBR","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"290","LBR","AFR","WHS3_45",0.0328937947862238,1559,697629,"WHS3_45","Leprosy"
"291","LBR","AFR","WHS3_46",0.00462638581257339,11,34998,"WHS3_46","Total tetanus"
"292","LBR","AFR","WHS3_48",0.825215540715739,3677516,65596333,"WHS3_48","Malaria"
"293","LBR","AFR","WHS3_49",0.0176492533974759,2,1668,"WHS3_49","Poliomyelitis"
"294","LBR","AFR","WHS3_50",0.00849854349508941,2,3464,"WHS3_50","Yellow fever"
"295","LBR","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"296","LBR","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"297","LBR","AFR","WHS3_56",0.0116888716913401,11,13852,"WHS3_56","Neonatal tetanus"
"298","LBR","AFR","WHS3_57",0.00141600605416943,30,311852,"WHS3_57","Rubella"
"299","LBR","AFR","WHS3_62",0.0404424614638344,2485,904443,"WHS3_62","Measles"
